project_number_int,property_type_en,rooms_en,reg_type_en,transaction_year,median_price_sqft,transaction_count,median_unit_size_sqft,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,growth_2003_to_2004,growth_2004_to_2005,growth_2005_to_2006,growth_2006_to_2007,growth_2007_to_2008,growth_2008_to_2009,growth_2009_to_2010,growth_2010_to_2011,growth_2011_to_2012,growth_2012_to_2013,growth_2013_to_2014,growth_2014_to_2015,growth_2015_to_2016,growth_2016_to_2017,growth_2017_to_2018,growth_2018_to_2019,growth_2019_to_2020,growth_2020_to_2021,growth_2021_to_2022,growth_2022_to_2023,growth_2023_to_2024,growth_2024_to_2025,CAGR_2021_to_2025,project_id,project_name,developer_name,area_name_en,master_project_en,project_status,completion_date,project_start_date,no_of_units,no_of_buildings,no_of_villas,no_of_lands,project_type,project_classification,has_project_info,buildings_count,transactions_count,price_growth_rank,price_growth_rank_in_area,micro_segment,micro_segment_with_dev,short_term_growth,medium_term_growth,long_term_cagr,short_term_growth_rank,short_term_growth_rank_in_area,short_term_growth_rank_by_developer,medium_term_growth_rank,medium_term_growth_rank_in_area,medium_term_growth_rank_by_developer,long_term_cagr_rank,long_term_cagr_rank_in_area,long_term_cagr_rank_by_developer,growth_acceleration,is_emerging,rel_short_term_growth,rel_medium_term_growth,rel_long_term_cagr,outperformance_count,available_periods,outperformance_ratio,is_consistent_outperformer,short_term_growth_stderr,short_term_growth_ci_lower,short_term_growth_ci_upper,short_term_growth_significant
10.0,Apartment,1 B/R,Existing Properties,2014,804.1648086213305,87,746.91396,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,1.662414854553885,,,False
10.0,Apartment,1 B/R,Existing Properties,2015,782.323485693051,23,748.52856,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,3.2332189770500634,,,False
10.0,Apartment,1 B/R,Existing Properties,2016,885.3455964325531,29,848.09556,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,2.8793869913445547,,,False
10.0,Apartment,1 B/R,Existing Properties,2017,846.7135823114086,4,691.587,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,7.752986745954798,,,False
10.0,Apartment,1 B/R,Existing Properties,2018,723.7695094760312,10,931.83948,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,4.903419357262879,,,False
10.0,Apartment,1 B/R,Existing Properties,2019,664.8894463024898,9,932.48532,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,5.1686578306365325,,,False
10.0,Apartment,1 B/R,Existing Properties,2020,524.3668710516537,6,767.2040999999999,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,6.33028717005007,,,False
10.0,Apartment,1 B/R,Existing Properties,2021,584.6618357487923,3,932.1624,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,8.952377969601207,,,False
10.0,Apartment,1 B/R,Existing Properties,2022,522.3945559271647,8,696.8613599999999,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,5.482189502514062,,,False
10.0,Apartment,1 B/R,Existing Properties,2023,621.9936826458567,25,748.52856,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,3.1011946983819194,,,False
10.0,Apartment,1 B/R,Existing Properties,2024,703.4717577108881,19,748.52856,,,,,,,,,,,,804.1648086213305,782.323485693051,885.3455964325531,846.7135823114086,723.7695094760312,664.8894463024898,524.3668710516537,584.6618357487923,522.3945559271647,621.9936826458567,703.4717577108881,,,,,,,,,,,,,-2.716025706934944,13.168735519711008,-4.363495371390547,-14.520148891406391,-8.135195307711607,-21.13472789082378,11.498622057532536,-10.650135858770437,19.065881447007023,13.099502026843336,,,10.0,La Vista 01,Dubai Integrated Economic Zones Authority,Nadd Hessa,Silicon Oasis,FINISHED,2014-03-13,2008-05-17,128.0,1.0,0.0,0.0,normal,Buildings,True,1,275,87.0,4.0,Apartment | Existing Properties | 1 B/R | Nadd Hessa,Apartment | Existing Properties | 1 B/R | Nadd Hessa | Dubai Integrated Economic Zones Authority,,19.065881447007023,,87.0,4.0,4.0,497.0,21.0,21.0,54.0,4.0,4.0,,False,,7.626284705449011,,1,1,1.0,True,3.557314288023917,,,False
