property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Apartment,1 B/R,Off-Plan Properties,Al Barsha South Fourth,973.3263656633223,19440,3.614650466000557,3.614650466000557,33.64575108208867,95.10151808730197,100.0,61.98875585902606
Villa,4 B/R,Existing Properties,Island 2,4191.345224823486,14,142.10031031918854,142.10031031918854,100.0,70.1162337152971,0.06687586810021091,61.048245288209166
Apartment,1 B/R,Existing Properties,Marsa Dubai,1326.1624396135267,16374,10.231491948529836,10.231491948529836,36.81615549253494,92.36203456337746,84.22758372344256,59.280589310715726
Apartment,1 B/R,Existing Properties,Al Barsha South Fourth,721.7800074321814,13234,14.959704809188135,14.959704809188135,39.081639250388214,97.05456981515526,68.07448942846854,58.36392453039557
Apartment,2 B/R,Existing Properties,Marsa Dubai,1213.714232627276,13869,14.310304987150404,14.310304987150404,38.77048474179563,93.23510291742893,71.34111837028654,57.74694844600424
Apartment,1 B/R,Existing Properties,Al Thanyah Fifth,943.2808435525828,10598,14.371793695523948,14.371793695523948,38.799946543583516,95.33479699177616,54.514121096764235,55.0232419343191
Villa,3 B/R,Existing Properties,Al Thanayah Fourth,659.787718320327,8318,22.64928487362741,22.64928487362741,42.76603740548186,97.53588923561865,42.785122691496476,54.92420627117763
Villa,4 B/R,Existing Properties,Jumeirah First,2337.928279450018,27,86.95416118019132,86.95416118019132,73.57718257101514,84.5065003565977,0.13375173620042183,54.80957348262545
Apartment,4 B/R,Existing Properties,Al Thanyah Fifth,822.3230211817169,89,65.93632068607572,65.93632068607572,63.50665959165413,96.2739355491379,0.4526981840629662,54.375384138215615
Villa,3 B/R,Existing Properties,Wadi Al Safa 6,727.6279728725382,115,64.43627768946236,64.43627768946236,62.78792650051408,97.00916514665587,0.586449920263388,54.33521012825507
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 7,709.5847268673356,1209,58.193352564293896,58.193352564293896,59.7966809941529,97.14925619402521,6.214311435773445,54.30631154302341
