property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,3 B/R,Existing Properties,Al Thanayah Fourth,659.787718320327,8318,22.64928487362741,22.64928487362741,42.76603740548186,95.28550885852788,100.0,65.6920676197511
Villa,2 B/R,Existing Properties,Al Thanayah Fourth,647.5106837606838,5582,31.58880275391329,31.58880275391329,47.04933284028318,95.50365254489618,67.1035229048936,60.89153348056085
Villa,3 B/R,Off-Plan Properties,Wadi Al Safa 5,942.833519137867,6134,13.840736321648384,13.840736321648384,38.54549483202588,90.2562280414506,73.74053144162559,57.24317263357065
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 7,709.5847268673356,1209,58.193352564293896,58.193352564293896,59.7966809941529,94.4006939659913,14.524467957196105,55.14377417889777
Villa,3 B/R,Existing Properties,Wadi Al Safa 6,727.6279728725382,115,64.43627768946236,64.43627768946236,62.78792650051408,94.08009372832775,1.3706865456294337,53.61333602782984
Villa,4 B/R,Off-Plan Properties,Madinat Al Mataar,657.5534188034188,3011,24.23529784470466,24.23529784470466,43.52596229287787,95.32520886350069,36.19093423109294,53.24613442241995
Villa,3 B/R,Existing Properties,Al Yelayiss 1,638.6636008918617,3106,20.293900684523543,20.293900684523543,41.63747471569292,95.66085135876568,37.33317301911747,52.81987989773037
Villa,3 B/R,Off-Plan Properties,Al Yelayiss 1,621.6007060572279,3431,,,38.972589541993,95.96403229071298,41.24083203078033,52.626411910167164
Villa,3 B/R,Off-Plan Properties,Al Yelayiss 2,639.4444444444446,3096,18.246316250137447,18.246316250137447,40.6563917112596,95.64697699112341,37.21293735722015,52.399237253284895
Villa,4 B/R,Off-Plan Properties,Wadi Al Safa 5,813.3405332590116,3580,14.666603306686966,14.666603306686966,38.94120210999552,92.55711569972188,43.032343393050375,51.95008423252485
Villa,3 B/R,Off-Plan Properties,Madinat Al Mataar,861.7688591601635,3113,19.72500443878138,19.72500443878138,41.36489282426489,91.69662015534587,37.417337982445595,51.53841077279884
Villa,3 B/R,Existing Properties,Al Yelayiss 2,734.5903010033445,2826,17.52582166522194,17.52582166522194,40.31117273998003,93.95638405586723,33.966574485992545,51.104699209950695
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 2,840.2842809364548,410,49.71530666171356,49.71530666171356,55.73449600869179,92.07836747967077,4.917638571600337,50.90083636169802
