year,median_price,mean_price,min_price,max_price,price_range,std_dev,count,yoy_growth,growth_3yr_ma
2003,604.0180230397622,604.0180230397622,604.0180230397622,604.0180230397622,0.0,0.0,9,,
2004,678.4476031215163,727.5602378298031,579.7844667409885,883.5883500557413,303.80388331475285,115.23690769494,50,12.322410465035816,12.322410465035816
2005,548.7021553325901,796.1077294685991,548.7021553325901,1330.103121516165,781.4009661835748,307.14500105419125,25,-19.12387149604058,-3.4007305155023815
2006,882.4665551839466,866.9125579889956,658.6185432924564,1196.0525826830176,537.4340393905612,217.87310460986944,31,60.82797317408908,18.008837381028105
2007,474.6423262727611,529.9736667291496,373.1642512077295,2973.443887030844,2600.2796358231144,303.2336807979663,565,-46.21412862793154,-1.503342316627678
2008,757.1269973987366,779.5929098857845,489.168524712003,1773.180044593088,1284.011519881085,153.00816175821492,756,59.51527191943708,24.70970548853154
2009,846.6703827573393,1030.3511281451292,370.0009290226682,11330.208101077667,10960.207172055,760.9279746775335,3679,11.82673259126239,8.375958627589313
2010,822.7526941657377,984.9268712361568,350.0459866220736,11408.709587513937,11058.663600891863,645.2102023206234,4854,-2.824911450629608,22.839031020023285
2011,841.4790040876998,974.5757840687274,348.1716833890747,8478.879598662208,8130.707915273133,541.1274043566406,5348,2.2760557400483883,3.75929229356039
2012,865.1978818283167,1026.4043431389816,340.98197696023783,14464.797008547008,14123.81503158677,823.3788325216536,6969,2.818712959609959,0.7566190830095798
2013,931.1217948717948,1086.647812616017,359.9981419546637,5668.246934225195,5308.248792270531,534.0893183353845,8382,7.619518543453796,4.2380957477040475
2014,1047.081010776663,1224.3723092943428,343.288740245262,6696.00380899294,6352.715068747679,615.2526677410904,10364,12.453710840356248,7.630647447806667
2015,990.898829431438,1179.5287599197864,343.9901523597176,6961.424191750279,6617.434039390561,600.0255755695547,11494,-5.3656002512692424,4.902543044180267
2016,958.4364548494984,1133.5906312368718,367.6570048309179,8829.166666666666,8461.509661835747,592.0615356101462,12776,-3.2760533787860036,1.2706857367670004
2017,970.9016164994426,1124.7355190476665,345.6531029357117,5396.845968041621,5051.192865105909,542.8707107700968,14477,1.300572571804115,-2.447027019417044
2018,922.1070234113712,1058.493542726394,342.41871051653663,5057.910628019324,4715.491917502787,516.7654782703361,15017,-5.025699026436781,-2.3337266111395567
2019,805.8839650687478,974.6949146099428,343.1744704570792,4895.397157190636,4552.222686733557,530.739025304572,16020,-12.60407473230728,-5.4430670623133155
2020,742.881828316611,920.8735811801952,344.87272389446304,9160.235042735045,8815.362318840582,544.687843331875,15512,-7.817767753545302,-8.482513837429787
2021,792.1195652173914,981.4364114627855,350.00000000000006,9618.376068376068,9268.376068376068,607.16394672232,17629,6.627936641330212,-4.597968614840791
2022,894.4137866963954,1135.1736648343096,346.826458565589,9769.331103678933,9422.504645113344,784.0796747731831,19182,12.913987480025213,3.9080521226033746
2023,1013.66452991453,1292.038384986355,348.6352657004831,15159.919639539206,14811.284373838724,944.3607280267232,20944,13.332838222295184,10.958254114550202
2024,1156.9026384243775,1398.1054942315973,347.8223708658492,13222.075436640656,12874.253065774807,906.7293379627284,21737,14.13072118858938,13.459182296969926
2025,1369.214975845411,1450.3537953266216,499.8973429951691,4713.344481605352,4213.447138610182,661.0949154464661,1036,18.35178954299803,15.27178298462753
