year,median_price,mean_price,min_price,max_price,price_range,std_dev,count,yoy_growth,growth_3yr_ma
2003,604.0180230397622,604.0180230397622,604.0180230397622,604.0180230397622,0.0,0.0,9,,
2004,678.4476031215163,727.5602378298031,579.7844667409885,883.5883500557413,303.80388331475285,115.23690769494,50,12.322410465035816,12.322410465035816
2005,548.7021553325901,796.1077294685991,548.7021553325901,1330.103121516165,781.4009661835748,307.14500105419125,25,-19.12387149604058,-3.4007305155023815
2006,882.4665551839466,866.9125579889956,658.6185432924564,1196.0525826830176,537.4340393905612,217.87310460986944,31,60.82797317408908,18.008837381028105
2007,576.2002972872539,862.2067694785087,404.9972129319956,2973.443887030844,2568.4466740988482,838.687885197387,60,-34.705707099897154,2.332798192717116
2008,835.2211073950205,836.0536308111558,489.168524712003,1773.180044593088,1284.011519881085,229.36443903648922,234,44.95325867189488,23.69184158202894
2009,890.4357116313638,1117.7909772868552,370.0009290226682,11330.208101077667,10960.207172055,804.2251018370793,3056,6.610776924514372,5.619442832170699
2010,866.079988851728,1040.8828862107803,350.0459866220736,11408.709587513937,11058.663600891863,670.5964818475821,4241,-2.735258981809452,16.27625887153327
2011,877.3011891490154,1013.3884532169803,348.1716833890747,8478.879598662208,8130.707915273133,552.6177089319187,4584,1.2956309396046306,1.7237162941031847
2012,896.3312894834635,1060.9173069035148,340.98197696023783,14464.797008547008,14123.81503158677,861.6734662681946,6148,2.1691638595528806,0.2431786057826876
2013,953.4169453734672,1110.6511475617958,359.9981419546637,5668.246934225195,5308.248792270531,547.985589476388,7388,6.368812130044121,3.2778689764005455
2014,1071.7084726867338,1245.8442676869802,343.288740245262,5006.063266443702,4662.77452619844,593.3151406028367,9246,12.407114000572971,6.981696663389992
2015,1011.5561129691564,1204.9359248021105,343.9901523597176,4406.915644741732,4062.925492382014,588.2605750037338,10405,-5.612753957872297,4.3877240575815994
2016,977.887866963954,1160.3212813328964,367.6570048309179,8829.166666666666,8461.509661835747,588.9251190802474,11463,-3.3283616769788638,1.155332788573938
2017,999.0022296544035,1155.5153106675118,345.6531029357117,5396.845968041621,5051.192865105909,549.4062195987436,13068,2.1591803522425623,-2.260645094202865
2018,955.9652545522111,1088.882341464893,342.41871051653663,5057.910628019324,4715.491917502787,525.5943241699018,13537,-4.307995900777984,-1.8257257418380937
2019,847.6384243775549,1002.7241309036255,343.1744704570792,4266.918431809737,3923.7439613526576,534.6672422254998,14263,-11.33167023161299,-4.493495260049468
2020,777.2584541062803,946.6483235684642,344.87272389446304,9160.235042735045,8815.362318840582,555.1344193265475,13709,-8.303065109743768,-7.980910414044911
2021,815.091044221479,1003.0931753073963,350.00000000000006,9618.376068376068,9268.376068376068,623.7634591506064,15658,4.867440156530689,-4.922431728275355
2022,917.2403381642512,1158.7668476245988,346.826458565589,9769.331103678933,9422.504645113344,803.9532521475612,17083,12.532255711426487,3.0322102527378036
2023,1045.715811965812,1315.036230194745,348.6352657004831,15159.919639539206,14811.284373838724,959.3096443048603,18698,14.00674048621644,10.468812118057873
2024,1170.7362504645114,1413.956193892837,347.8223708658492,13222.075436640656,12874.253065774807,927.9490437537103,19473,11.955488964413474,12.831495054018802
2025,1381.3322185061315,1498.609332929127,499.8973429951691,4713.344481605352,4213.447138610182,692.8378421697748,855,17.988335797927355,14.650188416185758
