year,median_price,mean_price,min_price,max_price,price_range,std_dev,count,yoy_growth,growth_3yr_ma
2007,472.2463768115943,490.5004267985327,373.1642512077295,749.1471571906354,375.98290598290595,76.5078752274061,505,,
2008,745.0761798587886,754.2829315399281,624.5563916759569,1049.6451133407654,425.08872166480853,91.2450364870626,522,57.77276786943808,57.77276786943808
2009,589.769137866964,601.4327028207097,435.132850241546,2535.925306577481,2100.792456335935,158.9644251346452,623,-20.844451371571072,18.4641582489335
2010,581.1835748792271,597.7988785650678,421.42140468227433,1813.8861018208845,1392.46469713861,117.23236481039649,613,-1.455749790297367,11.824188902523213
2011,538.5330732069863,741.699769179211,406.1798587885545,1931.2328130806395,1525.052954292085,392.89031287104376,764,-7.338559366737751,-9.879586842868731
2012,614.1917502787069,767.9564731945842,388.3226495726496,1821.4734299516908,1433.1507803790412,345.31820040462077,821,14.049030753333325,1.7515738654327357
2013,777.0308435525826,908.2407315502081,444.86064659977706,2893.070419918246,2448.209773318469,370.85163757306196,994,26.512745115834413,11.074405500809995
2014,844.314381270903,1046.796524591014,443.4364548494984,6696.00380899294,6252.567354143442,750.2901646450757,1118,8.659056236519547,16.406944035229092
2015,749.9897807506504,936.7725151074952,374.9990709773318,6961.424191750279,6586.425120772947,654.8961497477421,1089,-11.17173917827512,8.000020724692947
2016,749.8402081010777,900.2216730870414,369.3459680416202,6077.045707915274,5707.699739873654,567.8189503013645,1313,-0.01994329168365505,-0.8442087444797415
2017,721.1371237458194,839.263328211511,358.5228539576366,3678.529821627648,3320.0069676700114,371.9176325847354,1409,-3.827893469189525,-5.0065253130494325
2018,653.3082497212934,780.5386991297316,351.9504830917875,2601.4947974730585,2249.544314381271,311.8301285820147,1480,-9.405821970750994,-4.417886243874723
2019,608.7332775919732,747.1589373778443,388.5999628390933,4895.397157190636,4506.797194351542,435.51087652703814,1757,-6.8229617716194735,-6.685559070519996
2020,581.2950575994055,724.8969070810388,387.1776291341509,3621.837606837607,3234.659977703456,407.3897291053518,1803,-4.50742895165972,-6.912070898010061
2021,711.6346153846155,809.3909481046335,381.9834633965069,5058.829431438127,4676.845968041621,416.0512452528112,1971,22.42227180177272,3.697293692831177
2022,806.9797473058343,943.1573038974338,425.0455221107395,6986.002415458938,6560.956893348199,562.7537154808853,2099,13.398045831383264,10.437629560498756
2023,925.1988108509848,1100.5808116531045,367.8548866592345,9756.087885544408,9388.232998885174,783.6659245192362,2246,14.649570071595264,16.82329590158375
2024,1116.7660720921592,1261.7712740446168,351.9695280564846,7586.628112225939,7234.658584169454,683.2124531102646,2264,20.70552393652274,16.25104661316709
2025,1236.4985135637312,1222.4063663203106,536.8459680416203,2388.700297287254,1851.8543292456338,415.04127713576946,181,10.721353778886233,15.358815929001414
